Longitude,Latitude,evapproxy,premin,premax,cluster ids,
numeric,numeric,numeric,numeric,numeric,id,
132.5,-10.5,11939.9,2.4,350.0,6,
142.5,-10.5,10951.2,8.0,350.0,4,
130.5,-11.5,11933.3,3.0,450.0,8,
131.5,-11.5,12687.0,2.57,378.57,8,
132.5,-11.5,11585.1,3.0,350.0,6,
133.5,-11.5,11640.5,2.25,375.0,6,
134.5,-11.5,11983.0,3.0,435.71,6,
135.5,-11.5,12830.5,3.71,435.71,6,
136.5,-11.5,12696.5,3.0,450.0,4,
141.5,-11.5,12730.1,6.33,350.0,4,
142.5,-11.5,11259.8,8.0,350.0,4,
143.5,-11.5,11633.6,8.0,350.0,4,
130.5,-12.5,13357.9,2.77,411.54,8,
131.5,-12.5,13281.3,3.0,350.0,8,
132.5,-12.5,12742.1,0.0,350.0,6,
134.5,-12.5,12336.9,3.0,450.0,6,
135.5,-12.5,12436.4,3.0,450.0,6,
136.5,-12.5,13096.3,4.43,421.43,4,
141.5,-12.5,13226.9,5.22,350.0,4,
142.5,-12.5,12100.6,8.0,350.0,4,
143.5,-12.5,12594.0,7.0,330.0,4,
125.5,-13.5,11875.9,0.0,335.71,8,
126.5,-13.5,12040.1,0.0,350.0,10,
127.5,-13.5,11986.5,0.0,350.0,10,
129.5,-13.5,13803.7,1.33,438.89,10,
130.5,-13.5,12587.3,3.0,450.0,10,
135.5,-13.5,13342.3,8.0,350.0,4,
136.5,-13.5,13467.4,5.22,361.11,4,
141.5,-13.5,14095.0,3.0,350.0,4,
143.5,-13.5,13287.5,5.22,283.33,4,
125.5,-14.5,12835.6,0.0,350.0,8,
126.5,-14.5,11237.9,0.0,350.0,10,
127.5,-14.5,11774.5,0.0,350.0,10,
128.5,-14.5,12056.1,0.0,376.67,10,
129.5,-14.5,13763.8,0.0,450.0,10,
135.5,-14.5,13022.4,3.0,350.0,4,
136.5,-14.5,13552.6,3.83,300.0,4,
141.5,-14.5,14931.8,3.0,350.0,4,
143.5,-14.5,14454.1,3.0,250.0,4,
144.5,-14.5,13036.8,8.0,250.0,4,
145.5,-14.5,11771.2,18.33,250.0,4,
124.5,-15.5,12493.2,3.0,250.0,8,
125.5,-15.5,8103.65,0.0,250.0,8,
128.5,-15.5,11446.9,0.0,350.0,10,
129.5,-15.5,11681.4,0.0,350.0,10,
135.5,-15.5,12618.3,3.0,250.0,4,
136.5,-15.5,12739.2,3.0,250.0,4,
137.5,-15.5,11843.8,3.0,250.0,4,
141.5,-15.5,13909.8,3.0,250.0,4,
145.5,-15.5,8935.54,55.86,235.71,4,
122.5,-16.5,14091.0,0.38,162.5,8,
123.5,-16.5,13086.4,1.5,200.0,8,
124.5,-16.5,10489.2,3.0,250.0,8,
137.5,-16.5,11431.4,3.0,250.0,4,
138.5,-16.5,11251.8,3.0,250.0,4,
139.5,-16.5,11374.1,2.25,225.0,4,
140.5,-16.5,12046.9,2.0,216.67,4,
141.5,-16.5,12387.0,3.0,250.0,4,
145.5,-16.5,8837.52,75.0,250.0,4,
122.5,-17.5,13007.0,0.0,150.0,8,
123.5,-17.5,12502.6,0.0,150.0,8,
139.5,-17.5,11425.4,3.0,250.0,4,
140.5,-17.5,11573.5,0.0,150.0,4,
145.5,-17.5,5339.44,75.0,150.0,4,
146.5,-17.5,6295.1,66.86,178.57,4,
121.5,-18.5,12431.2,0.0,150.0,6,
122.5,-18.5,10899.4,0.0,150.0,8,
146.5,-18.5,7125.38,32.25,150.0,4,
119.5,-19.5,9879.24,0.0,85.71,6,
120.5,-19.5,11587.8,0.0,125.0,6,
121.5,-19.5,11347.8,0.0,150.0,6,
146.5,-19.5,8058.16,18.0,150.0,4,
147.5,-19.5,9780.0,18.0,150.0,4,
148.5,-19.5,7634.8,18.0,150.0,4,
115.5,-20.5,9406.88,0.0,50.33,6,
116.5,-20.5,10196.8,0.0,64.43,6,
117.5,-20.5,10215.1,0.0,75.0,6,
118.5,-20.5,9752.7,0.0,75.0,6,
119.5,-20.5,9021.66,0.0,75.0,6,
148.5,-20.5,8109.8,18.0,150.0,6,
149.5,-20.5,6997.81,38.0,75.0,6,
113.5,-21.5,10064.4,0.0,38.0,6,
114.5,-21.5,9495.06,0.0,42.11,6,
115.5,-21.5,9793.3,0.0,38.0,6,
116.5,-21.5,5756.09,0.0,75.0,6,
149.5,-21.5,7259.07,38.0,75.0,6,
113.5,-22.5,9887.49,0.6,34.0,6,
114.5,-22.5,9780.6,0.0,38.0,6,
149.5,-22.5,7010.4,38.0,75.0,8,
150.5,-22.5,8198.12,38.0,75.0,8,
113.5,-23.5,10287.3,2.0,24.67,4,
150.5,-23.5,7187.04,38.0,75.0,8,
151.5,-23.5,6725.16,38.0,75.0,8,
113.5,-24.5,9993.02,3.0,18.0,4,
151.5,-24.5,6610.02,38.0,75.0,6,
152.5,-24.5,6858.4,56.5,75.0,6,
153.5,-24.5,7952.94,62.67,75.0,6,
112.5,-25.5,9353.08,3.0,18.0,4,
113.5,-25.5,8868.72,3.0,22.0,4,
114.5,-25.5,8426.16,3.0,18.0,4,
152.5,-25.5,8029.92,75.0,75.0,6,
153.5,-25.5,7137.48,75.0,75.0,6,
113.5,-26.5,8698.77,3.0,31.33,3,
114.5,-26.5,7468.0,3.0,38.0,3,
153.5,-26.5,6088.29,75.0,133.33,6,
113.5,-27.5,7571.72,4.25,47.25,3,
114.5,-27.5,6959.96,3.0,38.0,3,
153.5,-27.5,5780.18,75.0,250.0,6,
114.5,-28.5,6274.5,8.0,75.0,3,
153.5,-28.5,5095.3,75.0,250.0,4,
114.5,-29.5,4980.0,5.86,69.71,3,
153.5,-29.5,4806.4,75.0,250.0,4,
114.5,-30.5,4986.42,3.71,96.43,3,
115.5,-30.5,4646.46,3.0,75.0,3,
153.5,-30.5,4614.72,75.0,183.33,4,
115.5,-31.5,6332.56,3.0,150.0,3,
128.5,-31.5,5021.36,8.0,38.0,3,
129.5,-31.5,5052.64,8.0,38.0,3,
130.5,-31.5,5233.92,8.0,38.0,3,
131.5,-31.5,5330.4,8.0,18.0,3,
132.5,-31.5,4688.72,8.0,18.0,3,
152.5,-31.5,5181.6,75.0,150.0,3,
153.5,-31.5,4897.8,75.0,150.0,3,
115.5,-32.5,6210.27,6.5,142.5,2,
124.5,-32.5,5272.65,18.0,38.0,3,
125.5,-32.5,4977.25,18.0,38.0,3,
126.5,-32.5,5132.16,18.0,38.0,3,
127.5,-32.5,5172.3,11.33,38.0,3,
128.5,-32.5,4988.7,8.0,38.0,3,
132.5,-32.5,4603.2,9.43,20.86,3,
133.5,-32.5,3938.4,14.67,31.33,3,
134.5,-32.5,3769.2,18.0,38.0,3,
137.5,-32.5,4011.6,18.0,38.0,4,
151.5,-32.5,5115.6,75.0,75.0,4,
152.5,-32.5,5289.18,75.0,120.0,4,
115.5,-33.5,4624.23,8.0,150.0,2,
119.5,-33.5,3556.8,18.0,38.0,2,
120.5,-33.5,4958.94,18.0,75.0,2,
121.5,-33.5,5277.8,18.0,38.0,2,
122.5,-33.5,4536.87,18.0,75.0,3,
123.5,-33.5,5594.41,18.0,59.14,3,
124.5,-33.5,5202.12,18.0,43.29,3,
134.5,-33.5,3877.56,14.36,44.73,3,
135.5,-33.5,3626.0,8.0,38.0,4,
136.5,-33.5,3988.14,18.0,38.0,4,
137.5,-33.5,4789.8,18.0,38.0,4,
138.5,-33.5,1747.8,18.0,38.0,4,
151.5,-33.5,4696.56,75.0,150.0,4,
115.5,-34.5,4346.76,18.0,150.0,2,
116.5,-34.5,3686.43,18.0,150.0,2,
118.5,-34.5,3936.52,8.0,38.0,2,
119.5,-34.5,4081.7,14.0,45.4,2,
122.5,-34.5,5015.64,18.0,62.67,3,
123.5,-34.5,5255.36,18.0,75.0,3,
135.5,-34.5,4428.0,18.0,75.0,4,
136.5,-34.5,4451.78,16.95,51.63,4,
137.5,-34.5,4673.34,18.0,38.0,4,
138.5,-34.5,3695.12,18.0,75.0,4,
150.5,-34.5,3582.08,75.0,75.0,4,
151.5,-34.5,4024.68,75.0,108.33,4,
172.5,-34.5,4504.92,75.0,150.0,6,
116.5,-35.5,3856.28,18.0,150.0,2,
117.5,-35.5,4106.88,13.0,94.0,2,
118.5,-35.5,4053.7,8.0,38.0,2,
135.5,-35.5,4511.23,16.33,68.83,4,
136.5,-35.5,4883.94,18.0,62.67,4,
137.5,-35.5,4913.18,18.0,75.0,4,
138.5,-35.5,4227.5,18.0,57.73,4,
139.5,-35.5,4488.51,18.0,38.0,4,
150.5,-35.5,2407.02,62.67,75.0,4,
173.5,-35.5,4473.92,75.0,150.0,6,
174.5,-35.5,4934.08,75.0,150.0,6,
136.5,-36.5,4914.9,18.0,75.0,4,
137.5,-36.5,4905.87,18.0,67.6,4,
139.5,-36.5,4382.92,18.0,50.33,4,
149.5,-36.5,2170.08,38.0,75.0,6,
150.5,-36.5,2414.77,43.29,75.0,4,
173.5,-36.5,4586.56,75.0,150.0,6,
174.5,-36.5,4857.92,75.0,150.0,8,
175.5,-36.5,5834.22,75.0,150.0,6,
139.5,-37.5,4232.06,18.0,67.6,4,
140.5,-37.5,4190.62,18.0,75.0,3,
144.5,-37.5,3045.24,75.0,75.0,4,
145.5,-37.5,707.04,75.0,150.0,6,
147.5,-37.5,2552.1,38.0,75.0,6,
148.5,-37.5,3250.24,38.0,75.0,6,
149.5,-37.5,3746.16,38.0,75.0,6,
150.5,-37.5,3420.0,38.0,75.0,6,
174.5,-37.5,3517.28,75.0,150.0,8,
175.5,-37.5,3271.0,75.0,150.0,8,
176.5,-37.5,3371.76,75.0,150.0,8,
177.5,-37.5,3540.9,75.0,150.0,6,
178.5,-37.5,3556.56,75.0,150.0,6,
140.5,-38.5,4038.12,22.0,75.0,3,
141.5,-38.5,3530.88,32.29,75.0,3,
142.5,-38.5,2882.52,38.0,75.0,3,
143.5,-38.5,2989.61,38.0,75.0,3,
144.5,-38.5,2996.86,63.44,84.38,3,
145.5,-38.5,3915.34,75.0,75.0,3,
146.5,-38.5,3888.33,75.0,75.0,6,
147.5,-38.5,3214.8,54.82,75.0,6,
174.5,-38.5,3372.03,75.0,150.0,8,
177.5,-38.5,3257.8,75.0,150.0,6,
178.5,-38.5,3284.55,75.0,150.0,6,
143.5,-39.5,3031.95,38.0,75.0,3,
144.5,-39.5,3600.26,60.2,75.0,3,
146.5,-39.5,3115.18,75.0,75.0,4,
147.5,-39.5,3104.92,56.5,75.0,4,
148.5,-39.5,3687.36,38.0,75.0,4,
173.5,-39.5,4173.84,75.0,150.0,8,
174.5,-39.5,4071.5,75.0,150.0,8,
175.5,-39.5,2950.29,75.0,150.0,8,
176.5,-39.5,2920.86,75.0,150.0,6,
177.5,-39.5,3062.34,68.27,150.0,6,
144.5,-40.5,3620.05,150.0,150.0,3,
145.5,-40.5,1739.7,121.88,134.38,3,
146.5,-40.5,981.53,83.44,91.67,4,
147.5,-40.5,767.76,48.57,75.0,4,
148.5,-40.5,774.9,38.0,75.0,4,
172.5,-40.5,3830.4,125.0,150.0,6,
173.5,-40.5,3454.11,90.0,150.0,8,
174.5,-40.5,3502.07,72.53,150.0,8,
175.5,-40.5,2861.25,75.0,150.0,6,
176.5,-40.5,2982.46,38.0,150.0,6,
144.5,-41.5,1597.32,139.29,167.86,3,
145.5,-41.5,303.88,150.0,150.0,3,
146.5,-41.5,303.08,75.0,75.0,4,
147.5,-41.5,603.33,38.0,75.0,4,
148.5,-41.5,1089.66,43.29,75.0,4,
171.5,-41.5,2847.22,135.0,230.0,6,
172.5,-41.5,2009.26,150.0,150.0,6,
173.5,-41.5,3453.95,75.0,150.0,6,
174.5,-41.5,3506.88,80.36,150.0,8,
175.5,-41.5,3038.31,75.0,150.0,6,
176.5,-41.5,2973.1,61.55,150.0,6,
145.5,-42.5,1070.81,150.0,250.0,3,
147.5,-42.5,1759.78,38.0,75.0,4,
148.5,-42.5,1490.24,38.0,75.0,4,
170.5,-42.5,2125.0,126.18,288.64,6,
171.5,-42.5,1951.74,150.0,350.0,6,
173.5,-42.5,2361.15,75.0,150.0,6,
174.5,-42.5,2917.5,75.0,150.0,6,
145.5,-43.5,737.7,116.67,194.44,3,
146.5,-43.5,731.17,75.0,150.0,3,
147.5,-43.5,1280.96,54.44,108.33,4,
148.5,-43.5,1853.06,50.33,100.0,4,
168.5,-43.5,2051.75,230.0,350.0,6,
169.5,-43.5,1989.9,139.0,266.67,6,
170.5,-43.5,1736.16,150.0,350.0,6,
171.5,-43.5,2590.67,75.0,150.0,6,
172.5,-43.5,3244.96,75.0,150.0,6,
173.5,-43.5,2765.7,75.0,150.0,6,
167.5,-44.5,2967.72,250.0,300.0,6,
168.5,-44.5,1965.04,250.0,350.0,6,
170.5,-44.5,1998.1,38.0,75.0,6,
171.5,-44.5,2480.8,75.2,160.0,6,
166.5,-45.5,5498.48,250.0,250.0,6,
167.5,-45.5,3094.4,250.0,250.0,6,
170.5,-45.5,2086.25,38.0,75.0,6,
171.5,-45.5,2331.45,43.29,85.71,6,
166.5,-46.5,5146.96,191.67,216.67,6,
167.5,-46.5,4858.36,152.78,194.44,6,
168.5,-46.5,3406.22,75.0,150.0,6,
169.5,-46.5,2593.76,75.0,150.0,6,
170.5,-46.5,2160.75,56.5,112.5,6,
167.5,-47.5,4883.5,133.33,183.33,6,
168.5,-47.5,4237.64,75.0,150.0,6,
